# x y rho ux uy
2 101 1.019150 0.095136 0.034466
2 102 1.020007 0.095111 0.034586
2 103 1.020909 0.095092 0.034623
2 104 1.021857 0.095079 0.034569
2 105 1.022854 0.095074 0.034417
2 106 1.023905 0.095078 0.034158
2 107 1.025012 0.095095 0.033784
2 108 1.026180 0.095126 0.033281
2 109 1.027413 0.095175 0.032639
2 110 1.028718 0.095245 0.031840
2 111 1.030101 0.095343 0.030866
2 112 1.031569 0.095474 0.029696
2 113 1.033132 0.095646 0.028305
2 114 1.034799 0.095868 0.026662
2 115 1.036584 0.096150 0.024732
2 116 1.038503 0.096504 0.022475
2 117 1.040573 0.096941 0.019849
2 118 1.042818 0.097467 0.016810
2 119 1.045267 0.098076 0.013327
2 120 1.047953 0.098735 0.009399
2 121 1.050919 0.099339 0.005097
2 122 1.054206 0.099629 0.000649
2 123 1.057850 0.098982 -0.003403
2 124 1.061848 0.095906 -0.005944
2 125 1.066025 0.086595 -0.005086
2 126 1.069349 0.064325 -0.000803
2 127 1.066064 0.022956 0.000956
3 0 1.060055 0.023150 0.000194
3 1 1.061250 0.060601 0.002680
3 2 1.059742 0.084185 0.006323
3 3 1.057212 0.096660 0.008082
3 4 1.054420 0.102094 0.007232
3 5 1.051642 0.103793 0.004464
3 6 1.048972 0.103746 0.000742
3 7 1.046448 0.102964 -0.003264
3 8 1.044082 0.101938 -0.007174
3 9 1.041870 0.100898 -0.010798
3 10 1.039804 0.099942 -0.014059
3 11 1.037874 0.099103 -0.016944
3 12 1.036068 0.098386 -0.019467
3 13 1.034375 0.097781 -0.021657
3 14 1.032784 0.097274 -0.023547
3 15 1.031287 0.096851 -0.025169
3 16 1.029876 0.096498 -0.026552
3 17 1.028542 0.096203 -0.027724
3 18 1.027281 0.095957 -0.028705
3 19 1.026087 0.095751 -0.029518
3 20 1.024955 0.095579 -0.030178
3 21 1.023880 0.095434 -0.030700
3 22 1.022859 0.095313 -0.031097
3 23 1.021889 0.095211 -0.031379
3 24 1.020966 0.095125 -0.031556
3 25 1.020088 0.095053 -0.031637
3 26 1.019252 0.094994 -0.031628
3 27 1.018456 0.094944 -0.031536
3 28 1.017699 0.094904 -0.031367
3 29 1.016977 0.094871 -0.031125
3 30 1.016290 0.094845 -0.030817
3 31 1.015636 0.094824 -0.030445
3 32 1.015014 0.094809 -0.030014
3 33 1.014422 0.094798 -0.029528
3 34 1.013859 0.094791 -0.028989
3 35 1.013324 0.094787 -0.028401
3 36 1.012816 0.094786 -0.027767
3 37 1.012333 0.094788 -0.027089
3 38 1.011875 0.094792 -0.026371
3 39 1.011441 0.094797 -0.025613
3 40 1.011031 0.094805 -0.024820
3 41 1.010643 0.094814 -0.023992
3 42 1.010276 0.094823 -0.023132
3 43 1.009930 0.094834 -0.022242
3 44 1.009605 0.094845 -0.021324
3 45 1.009299 0.094857 -0.020380
3 46 1.009013 0.094869 -0.019410
3 47 1.008745 0.094881 -0.018418
3 48 1.008496 0.094894 -0.017404
3 49 1.008264 0.094906 -0.016371
3 50 1.008049 0.094918 -0.015319
3 51 1.007852 0.094929 -0.014250
3 52 1.007671 0.094940 -0.013165
3 53 1.007506 0.094950 -0.012067
3 54 1.007357 0.094960 -0.010955
3 55 1.007224 0.094969 -0.009833
3 56 1.007106 0.094977 -0.008700
